model,molecule,config,iteration,recall,precision,recall_x10,novelty_1minusprecision_x10,count_total
Claude Opus 4.6,Arginine,ChatGPT Report,1,0.2677,0.18,2.677,8.2,12
Claude Opus 4.6,Arginine,ChatGPT Report,2,0.2715,0.2,2.715,8.0,12
Claude Opus 4.6,Arginine,ChatGPT Report,3,0.356,0.25,3.56,7.5,12
Claude Opus 4.6,Glutamate,ChatGPT Report,1,0.5099,0.33,5.099,6.7,11
Claude Opus 4.6,Glutamate,ChatGPT Report,2,0.5127,0.35,5.127,6.5,11
Claude Opus 4.6,Glutamate,ChatGPT Report,3,0.4926,0.33,4.926,6.7,11
Claude Opus 4.6,Glycine,ChatGPT Report,1,0.3698,0.29,3.698,7.1,12
Claude Opus 4.6,Glycine,ChatGPT Report,2,0.3698,0.32,3.698,6.8,12
Claude Opus 4.6,Glycine,ChatGPT Report,3,0.3698,0.31,3.698,6.9,12
Claude Opus 4.6,L-Alanine,ChatGPT Report,1,0.3199,0.29,3.199,7.1,8
Claude Opus 4.6,L-Alanine,ChatGPT Report,2,0.326,0.21,3.26,7.9,8
Claude Opus 4.6,L-Alanine,ChatGPT Report,3,0.309,0.23,3.09,7.7,8
Claude Opus 4.6,L-Proline,ChatGPT Report,1,0.0975,0.09,0.975,9.1,5
Claude Opus 4.6,L-Proline,ChatGPT Report,2,0.0773,0.05,0.773,9.5,5
Claude Opus 4.6,L-Proline,ChatGPT Report,3,0.0841,0.06,0.841,9.4,5
Claude Opus 4.6,Serine,ChatGPT Report,1,0.8667,0.24,8.667,7.6,3
Claude Opus 4.6,Serine,ChatGPT Report,2,0.62,0.21,6.2,7.9,3
Claude Opus 4.6,Serine,ChatGPT Report,3,0.62,0.18,6.2,8.2,3
Claude Opus 4.6,Threonine,ChatGPT Report,1,0.4674,0.25,4.674,7.5,4
Claude Opus 4.6,Threonine,ChatGPT Report,2,0.491,0.25,4.91,7.5,4
Claude Opus 4.6,Threonine,ChatGPT Report,3,0.491,0.26,4.91,7.4,4
Claude Opus 4.6,Valine,ChatGPT Report,1,0.3687,0.2,3.687,8.0,8
Claude Opus 4.6,Valine,ChatGPT Report,2,0.6674,0.35,6.674,6.5,8
Claude Opus 4.6,Valine,ChatGPT Report,3,0.6798,0.32,6.798,6.8,8
Claude Opus 4.6,Arginine,Claude Report,1,0.2888,0.2,2.888,8.0,12
Claude Opus 4.6,Arginine,Claude Report,2,0.2909,0.2,2.909,8.0,12
Claude Opus 4.6,Arginine,Claude Report,3,0.2984,0.23,2.984,7.7,12
Claude Opus 4.6,Glutamate,Claude Report,1,0.1978,0.23,1.978,7.7,11
Claude Opus 4.6,Glutamate,Claude Report,2,0.1913,0.18,1.913,8.2,11
Claude Opus 4.6,Glutamate,Claude Report,3,0.437,0.34,4.37,6.6,11
Claude Opus 4.6,Glycine,Claude Report,1,0.3212,0.27,3.212,7.3,12
Claude Opus 4.6,Glycine,Claude Report,2,0.4239,0.33,4.239,6.7,12
Claude Opus 4.6,L-Alanine,Claude Report,1,0.3389,0.24,3.389,7.6,8
Claude Opus 4.6,L-Alanine,Claude Report,2,0.3244,0.22,3.244,7.8,8
Claude Opus 4.6,L-Proline,Claude Report,1,0.1548,0.09,1.548,9.1,5
Claude Opus 4.6,L-Proline,Claude Report,2,0.3154,0.12,3.154,8.8,5
Claude Opus 4.6,L-Proline,Claude Report,3,0.3487,0.13,3.487,8.7,5
Claude Opus 4.6,Serine,Claude Report,1,0.6556,0.21,6.556,7.9,3
Claude Opus 4.6,Serine,Claude Report,2,0.4089,0.15,4.089,8.5,3
Claude Opus 4.6,Serine,Claude Report,3,0.3346,0.12,3.346,8.8,3
Claude Opus 4.6,Threonine,Claude Report,1,0.5195,0.23,5.195,7.7,4
Claude Opus 4.6,Threonine,Claude Report,2,0.4656,0.22,4.656,7.8,4
Claude Opus 4.6,Threonine,Claude Report,3,0.4974,0.21,4.974,7.9,4
Claude Opus 4.6,Valine,Claude Report,1,0.2853,0.18,2.853,8.2,8
Claude Opus 4.6,Valine,Claude Report,2,0.1796,0.16,1.796,8.4,8
Claude Opus 4.6,Valine,Claude Report,3,0.2917,0.19,2.917,8.1,8
Claude Opus 4.6,Arginine,Exact Report,1,0.5149,0.41,5.149,5.9,12
Claude Opus 4.6,Arginine,Exact Report,2,0.5149,0.37,5.149,6.3,12
Claude Opus 4.6,Glutamate,Exact Report,1,1.0,0.95,10.0,0.5,11
Claude Opus 4.6,Glycine,Exact Report,1,0.9246,0.83,9.246,1.7,12
Claude Opus 4.6,Glycine,Exact Report,2,0.9246,0.68,9.246,3.2,12
Claude Opus 4.6,Glycine,Exact Report,3,0.9246,0.62,9.246,3.8,12
Claude Opus 4.6,L-Alanine,Exact Report,1,0.9861,0.78,9.861,2.2,8
Claude Opus 4.6,L-Alanine,Exact Report,2,0.9861,0.7,9.861,3.0,8
Claude Opus 4.6,L-Alanine,Exact Report,3,0.9861,0.55,9.861,4.5,8
Claude Opus 4.6,L-Proline,Exact Report,1,0.5576,0.25,5.576,7.5,5
Claude Opus 4.6,L-Proline,Exact Report,2,0.557,0.22,5.57,7.8,5
Claude Opus 4.6,L-Proline,Exact Report,3,0.557,0.23,5.57,7.7,5
Claude Opus 4.6,Serine,Exact Report,1,1.0,0.33,10.0,6.7,3
Claude Opus 4.6,Serine,Exact Report,2,1.0,0.29,10.0,7.1,3
Claude Opus 4.6,Serine,Exact Report,3,1.0,0.34,10.0,6.6,3
Claude Opus 4.6,Threonine,Exact Report,1,0.6069,0.28,6.069,7.2,4
Claude Opus 4.6,Threonine,Exact Report,2,0.7142,0.31,7.142,6.9,4
Claude Opus 4.6,Threonine,Exact Report,3,0.7142,0.28,7.142,7.2,4
Claude Opus 4.6,Valine,Exact Report,1,0.8186,0.47,8.186,5.3,8
Claude Opus 4.6,Valine,Exact Report,2,0.8186,0.41,8.186,5.9,8
Claude Opus 4.6,Valine,Exact Report,3,0.8186,0.38,8.186,6.2,8
Claude Opus 4.6,Arginine,Gemini Report,1,0.2758,0.21,2.758,7.9,12
Claude Opus 4.6,Arginine,Gemini Report,2,0.2759,0.27,2.759,7.3,12
Claude Opus 4.6,Arginine,Gemini Report,3,0.3113,0.22,3.113,7.8,12
Claude Opus 4.6,Glutamate,Gemini Report,1,0.4503,0.33,4.503,6.7,11
Claude Opus 4.6,Glutamate,Gemini Report,2,0.4783,0.3,4.783,7.0,11
Claude Opus 4.6,Glutamate,Gemini Report,3,0.4866,0.34,4.866,6.6,11
Claude Opus 4.6,Glycine,Gemini Report,1,0.36,0.23,3.6,7.7,12
Claude Opus 4.6,L-Alanine,Gemini Report,1,0.6361,0.43,6.361,5.7,8
Claude Opus 4.6,L-Alanine,Gemini Report,2,0.327,0.22,3.27,7.8,8
Claude Opus 4.6,L-Alanine,Gemini Report,3,0.6172,0.31,6.172,6.9,8
Claude Opus 4.6,L-Proline,Gemini Report,1,0.3314,0.15,3.314,8.5,5
Claude Opus 4.6,L-Proline,Gemini Report,2,0.3308,0.15,3.308,8.5,5
Claude Opus 4.6,L-Proline,Gemini Report,3,0.3303,0.17,3.303,8.3,5
Claude Opus 4.6,Serine,Gemini Report,1,0.8667,0.22,8.667,7.8,3
Claude Opus 4.6,Serine,Gemini Report,2,0.8667,0.26,8.667,7.4,3
Claude Opus 4.6,Serine,Gemini Report,3,0.8667,0.21,8.667,7.9,3
Claude Opus 4.6,Threonine,Gemini Report,1,0.4959,0.17,4.959,8.3,4
Claude Opus 4.6,Threonine,Gemini Report,2,0.4495,0.13,4.495,8.7,4
Claude Opus 4.6,Threonine,Gemini Report,3,0.4959,0.16,4.959,8.4,4
Claude Opus 4.6,Valine,Gemini Report,1,0.2226,0.19,2.226,8.1,8
Claude Opus 4.6,Valine,Gemini Report,2,0.2151,0.19,2.151,8.1,8
Claude Opus 4.6,Valine,Gemini Report,3,0.2158,0.18,2.158,8.2,8
Claude Opus 4.6,Arginine,No Report,1,0.1039,0.13,1.039,8.7,12
Claude Opus 4.6,Arginine,No Report,2,0.1097,0.11,1.097,8.9,12
Claude Opus 4.6,Arginine,No Report,3,0.1052,0.09,1.052,9.1,12
Claude Opus 4.6,Glutamate,No Report,1,0.1616,0.12,1.616,8.8,11
Claude Opus 4.6,Glutamate,No Report,2,0.1961,0.14,1.961,8.6,11
Claude Opus 4.6,Glutamate,No Report,3,0.1729,0.12,1.729,8.8,11
Claude Opus 4.6,Glycine,No Report,1,0.298,0.24,2.98,7.6,12
Claude Opus 4.6,Glycine,No Report,2,0.3615,0.25,3.615,7.5,12
Claude Opus 4.6,Glycine,No Report,3,0.309,0.23,3.09,7.7,12
Claude Opus 4.6,L-Alanine,No Report,1,0.6289,0.43,6.289,5.7,8
Claude Opus 4.6,L-Alanine,No Report,2,0.3123,0.25,3.123,7.5,8
Claude Opus 4.6,L-Alanine,No Report,3,0.3096,0.23,3.096,7.7,8
Claude Opus 4.6,L-Proline,No Report,1,0.1473,0.09,1.473,9.1,5
Claude Opus 4.6,L-Proline,No Report,2,0.331,0.13,3.31,8.7,5
Claude Opus 4.6,L-Proline,No Report,3,0.3378,0.16,3.378,8.4,5
Claude Opus 4.6,Serine,No Report,1,0.8667,0.25,8.667,7.5,3
Claude Opus 4.6,Serine,No Report,2,0.5437,0.17,5.437,8.3,3
Claude Opus 4.6,Serine,No Report,3,0.6006,0.19,6.006,8.1,3
Claude Opus 4.6,Threonine,No Report,1,0.493,0.16,4.93,8.4,4
Claude Opus 4.6,Threonine,No Report,2,0.4959,0.16,4.959,8.4,4
Claude Opus 4.6,Threonine,No Report,3,0.442,0.13,4.42,8.7,4
Claude Opus 4.6,Valine,No Report,1,0.3106,0.17,3.106,8.3,8
Claude Opus 4.6,Valine,No Report,2,0.2983,0.14,2.983,8.6,8
Claude Opus 4.6,Valine,No Report,3,0.3282,0.17,3.282,8.3,8
Claude Opus 4.6,Arginine,Simple one-shot,1,0.1701,0.22,1.701,7.8,12
Claude Opus 4.6,Glutamate,Simple one-shot,1,0.3632,0.34,3.632,6.6,11
Claude Opus 4.6,Glycine,Simple one-shot,1,0.1828,0.44,1.828,5.6,12
Claude Opus 4.6,L-Alanine,Simple one-shot,1,0.2073,0.33,2.073,6.7,8
Claude Opus 4.6,L-Proline,Simple one-shot,1,0.33,0.28,3.3,7.2,5
Claude Opus 4.6,Serine,Simple one-shot,1,0.4603,0.36,4.603,6.4,3
Claude Opus 4.6,Threonine,Simple one-shot,1,0.4527,0.33,4.527,6.7,4
Claude Opus 4.6,Valine,Simple one-shot,1,0.3132,0.2,3.132,8.0,8
GPT 4.1,Arginine,ChatGPT Report,1,0.1916,0.23,1.916,7.7,12
GPT 4.1,Glutamate,ChatGPT Report,1,0.5223,0.41,5.223,5.9,11
GPT 4.1,Glycine,ChatGPT Report,1,0.3494,0.44,3.494,5.6,12
GPT 4.1,L-Alanine,ChatGPT Report,1,0.5545,0.44,5.545,5.6,8
GPT 4.1,L-Proline,ChatGPT Report,1,0.1362,0.15,1.362,8.5,5
GPT 4.1,Serine,ChatGPT Report,1,0.4513,0.2,4.513,8.0,3
GPT 4.1,Threonine,ChatGPT Report,1,0.2611,0.16,2.611,8.4,4
GPT 4.1,Valine,ChatGPT Report,1,0.2224,0.16,2.224,8.4,8
GPT 4.1,Arginine,Claude Report,1,0.2523,0.29,2.523,7.1,12
GPT 4.1,Arginine,Claude Report,2,0.3012,0.33,3.012,6.7,12
GPT 4.1,Arginine,Claude Report,3,0.288,0.27,2.88,7.3,12
GPT 4.1,Glutamate,Claude Report,1,0.4075,0.4,4.075,6.0,11
GPT 4.1,Glycine,Claude Report,1,0.3247,0.31,3.247,6.9,12
GPT 4.1,L-Alanine,Claude Report,1,0.5577,0.38,5.577,6.2,8
GPT 4.1,L-Proline,Claude Report,1,0.1375,0.09,1.375,9.1,5
GPT 4.1,Serine,Claude Report,1,0.4404,0.26,4.404,7.4,3
GPT 4.1,Threonine,Claude Report,1,0.2559,0.14,2.559,8.6,4
GPT 4.1,Valine,Claude Report,1,0.2967,0.21,2.967,7.9,8
GPT 4.1,Arginine,Exact Report,1,0.5149,0.51,5.149,4.9,12
GPT 4.1,Glutamate,Exact Report,1,1.0,1.0,10.0,0.0,11
GPT 4.1,Glycine,Exact Report,1,0.9527,0.95,9.527,0.5,12
GPT 4.1,L-Alanine,Exact Report,1,1.0,0.9,10.0,1.0,8
GPT 4.1,L-Proline,Exact Report,1,0.557,0.3,5.57,7.0,5
GPT 4.1,Serine,Exact Report,1,1.0,0.32,10.0,6.8,3
GPT 4.1,Threonine,Exact Report,1,1.0,0.67,10.0,3.3,4
GPT 4.1,Valine,Exact Report,1,0.8186,0.77,8.186,2.3,8
GPT 4.1,Arginine,Gemini Report,1,0.2587,0.27,2.587,7.3,12
GPT 4.1,Glutamate,Gemini Report,1,0.4089,0.41,4.089,5.9,11
GPT 4.1,Glycine,Gemini Report,1,0.4167,0.39,4.167,6.1,12
GPT 4.1,L-Alanine,Gemini Report,1,0.6069,0.44,6.069,5.6,8
GPT 4.1,L-Proline,Gemini Report,1,0.3319,0.19,3.319,8.1,5
GPT 4.1,Serine,Gemini Report,1,0.8667,0.34,8.667,6.6,3
GPT 4.1,Threonine,Gemini Report,1,0.42,0.34,4.2,6.6,4
GPT 4.1,Valine,Gemini Report,1,0.2954,0.31,2.954,6.9,8
GPT 4.1,Arginine,No Report,1,0.0912,0.11,0.912,8.9,12
GPT 4.1,Glutamate,No Report,1,0.4183,0.31,4.183,6.9,11
GPT 4.1,Glycine,No Report,1,0.3597,0.31,3.597,6.9,12
GPT 4.1,L-Alanine,No Report,1,0.5493,0.51,5.493,4.9,8
GPT 4.1,L-Proline,No Report,1,0.1266,0.09,1.266,9.1,5
GPT 4.1,Serine,No Report,1,0.4413,0.15,4.413,8.5,3
GPT 4.1,Threonine,No Report,1,0.4578,0.24,4.578,7.6,4
GPT 4.1,Valine,No Report,1,0.229,0.18,2.29,8.2,8
GPT 4.1,Arginine,Simple one-shot,1,0.1256,0.24,1.256,7.6,12
GPT 4.1,Glutamate,Simple one-shot,1,0.3649,0.55,3.649,4.5,11
GPT 4.1,Glycine,Simple one-shot,1,0.1828,0.36,1.828,6.4,12
GPT 4.1,L-Alanine,Simple one-shot,1,0.2217,0.35,2.217,6.5,8
GPT 4.1,L-Proline,Simple one-shot,1,0.083,0.06,0.83,9.4,5
GPT 4.1,Serine,Simple one-shot,1,0.4603,0.44,4.603,5.6,3
GPT 4.1,Threonine,Simple one-shot,1,0.1822,0.15,1.822,8.5,4
GPT 4.1,Valine,Simple one-shot,1,0.2819,0.46,2.819,5.4,8
GPT-5.4-High,Arginine,ChatGPT Report,1,0.2725,0.2,2.725,8.0,12
GPT-5.4-High,Arginine,ChatGPT Report,2,0.2706,0.2,2.706,8.0,12
GPT-5.4-High,Arginine,ChatGPT Report,3,0.2475,0.21,2.475,7.9,12
GPT-5.4-High,Glutamate,ChatGPT Report,1,0.5242,0.34,5.242,6.6,11
GPT-5.4-High,Glutamate,ChatGPT Report,2,0.4662,0.3,4.662,7.0,11
GPT-5.4-High,Glutamate,ChatGPT Report,3,0.527,0.4,5.27,6.0,11
GPT-5.4-High,Glycine,ChatGPT Report,1,0.3602,0.29,3.602,7.1,12
GPT-5.4-High,Glycine,ChatGPT Report,2,0.3617,0.27,3.617,7.3,12
GPT-5.4-High,Glycine,ChatGPT Report,3,0.3602,0.27,3.602,7.3,12
GPT-5.4-High,L-Alanine,ChatGPT Report,1,0.6151,0.38,6.151,6.2,8
GPT-5.4-High,L-Alanine,ChatGPT Report,2,0.5723,0.37,5.723,6.3,8
GPT-5.4-High,L-Alanine,ChatGPT Report,3,0.5155,0.29,5.155,7.1,8
GPT-5.4-High,L-Proline,ChatGPT Report,1,0.142,0.09,1.42,9.1,5
GPT-5.4-High,L-Proline,ChatGPT Report,2,0.1528,0.11,1.528,8.9,5
GPT-5.4-High,L-Proline,ChatGPT Report,3,0.1541,0.14,1.541,8.6,5
GPT-5.4-High,Serine,ChatGPT Report,1,0.6111,0.24,6.111,7.6,3
GPT-5.4-High,Serine,ChatGPT Report,2,0.6228,0.22,6.228,7.8,3
GPT-5.4-High,Serine,ChatGPT Report,3,0.5949,0.24,5.949,7.6,3
GPT-5.4-High,Threonine,ChatGPT Report,1,0.4656,0.25,4.656,7.5,4
GPT-5.4-High,Threonine,ChatGPT Report,2,0.5091,0.3,5.091,7.0,4
GPT-5.4-High,Threonine,ChatGPT Report,3,0.5201,0.28,5.201,7.2,4
GPT-5.4-High,Valine,ChatGPT Report,1,0.4679,0.35,4.679,6.5,8
GPT-5.4-High,Valine,ChatGPT Report,2,0.4447,0.36,4.447,6.4,8
GPT-5.4-High,Valine,ChatGPT Report,3,0.5429,0.39,5.429,6.1,8
GPT-5.4-High,Arginine,Claude Report,1,0.2933,0.27,2.933,7.3,12
GPT-5.4-High,Arginine,Claude Report,2,0.3003,0.24,3.003,7.6,12
GPT-5.4-High,Arginine,Claude Report,3,0.2905,0.23,2.905,7.7,12
GPT-5.4-High,Glutamate,Claude Report,1,0.427,0.35,4.27,6.5,11
GPT-5.4-High,Glutamate,Claude Report,2,0.194,0.24,1.94,7.6,11
GPT-5.4-High,Glutamate,Claude Report,3,0.4022,0.3,4.022,7.0,11
GPT-5.4-High,Glycine,Claude Report,1,0.3312,0.27,3.312,7.3,12
GPT-5.4-High,Glycine,Claude Report,2,0.3067,0.22,3.067,7.8,12
GPT-5.4-High,Glycine,Claude Report,3,0.3191,0.22,3.191,7.8,12
GPT-5.4-High,L-Alanine,Claude Report,1,0.5954,0.39,5.954,6.1,8
GPT-5.4-High,L-Alanine,Claude Report,2,0.5277,0.33,5.277,6.7,8
GPT-5.4-High,L-Alanine,Claude Report,3,0.3119,0.27,3.119,7.3,8
GPT-5.4-High,L-Proline,Claude Report,1,0.2265,0.15,2.265,8.5,5
GPT-5.4-High,L-Proline,Claude Report,2,0.1481,0.09,1.481,9.1,5
GPT-5.4-High,L-Proline,Claude Report,3,0.2153,0.13,2.153,8.7,5
GPT-5.4-High,Serine,Claude Report,1,0.6595,0.2,6.595,8.0,3
GPT-5.4-High,Serine,Claude Report,2,0.4474,0.2,4.474,8.0,3
GPT-5.4-High,Serine,Claude Report,3,0.6516,0.15,6.516,8.5,3
GPT-5.4-High,Threonine,Claude Report,1,0.3237,0.22,3.237,7.8,4
GPT-5.4-High,Threonine,Claude Report,2,0.4957,0.24,4.957,7.6,4
GPT-5.4-High,Threonine,Claude Report,3,0.4959,0.23,4.959,7.7,4
GPT-5.4-High,Valine,Claude Report,1,0.2815,0.17,2.815,8.3,8
GPT-5.4-High,Valine,Claude Report,2,0.2812,0.18,2.812,8.2,8
GPT-5.4-High,Valine,Claude Report,3,0.2882,0.18,2.882,8.2,8
GPT-5.4-High,Arginine,Exact Report,1,0.5107,0.41,5.107,5.9,12
GPT-5.4-High,Arginine,Exact Report,2,0.5125,0.41,5.125,5.9,12
GPT-5.4-High,Arginine,Exact Report,3,0.5149,0.4,5.149,6.0,12
GPT-5.4-High,Glutamate,Exact Report,1,1.0,0.77,10.0,2.3,11
GPT-5.4-High,Glycine,Exact Report,1,0.8897,0.79,8.897,2.1,12
GPT-5.4-High,Glycine,Exact Report,2,0.9527,0.8,9.527,2.0,12
GPT-5.4-High,Glycine,Exact Report,3,0.9527,0.84,9.527,1.6,12
GPT-5.4-High,L-Alanine,Exact Report,1,1.0,0.77,10.0,2.3,8
GPT-5.4-High,L-Alanine,Exact Report,2,1.0,0.7,10.0,3.0,8
GPT-5.4-High,L-Alanine,Exact Report,3,1.0,0.81,10.0,1.9,8
GPT-5.4-High,L-Proline,Exact Report,1,0.557,0.29,5.57,7.1,5
GPT-5.4-High,L-Proline,Exact Report,2,0.557,0.31,5.57,6.9,5
GPT-5.4-High,L-Proline,Exact Report,3,0.557,0.34,5.57,6.6,5
GPT-5.4-High,Serine,Exact Report,1,1.0,0.32,10.0,6.8,3
GPT-5.4-High,Serine,Exact Report,2,1.0,0.33,10.0,6.7,3
GPT-5.4-High,Serine,Exact Report,3,1.0,0.3,10.0,7.0,3
GPT-5.4-High,Threonine,Exact Report,1,0.6524,0.33,6.524,6.7,4
GPT-5.4-High,Threonine,Exact Report,2,1.0,0.48,10.0,5.2,4
GPT-5.4-High,Threonine,Exact Report,3,1.0,0.41,10.0,5.9,4
GPT-5.4-High,Valine,Exact Report,1,0.8439,0.58,8.439,4.2,8
GPT-5.4-High,Valine,Exact Report,2,0.8439,0.58,8.439,4.2,8
GPT-5.4-High,Valine,Exact Report,3,0.8439,0.59,8.439,4.1,8
GPT-5.4-High,Arginine,Gemini Report,1,0.2758,0.2,2.758,8.0,12
GPT-5.4-High,Arginine,Gemini Report,2,0.24,0.14,2.4,8.6,12
GPT-5.4-High,Arginine,Gemini Report,3,0.2656,0.17,2.656,8.3,12
GPT-5.4-High,Glutamate,Gemini Report,1,0.4014,0.33,4.014,6.7,11
GPT-5.4-High,Glutamate,Gemini Report,2,0.4073,0.3,4.073,7.0,11
GPT-5.4-High,Glutamate,Gemini Report,3,0.4083,0.32,4.083,6.8,11
GPT-5.4-High,Glycine,Gemini Report,1,0.3667,0.29,3.667,7.1,12
GPT-5.4-High,Glycine,Gemini Report,2,0.3617,0.27,3.617,7.3,12
GPT-5.4-High,Glycine,Gemini Report,3,0.3806,0.36,3.806,6.4,12
GPT-5.4-High,L-Alanine,Gemini Report,1,0.5295,0.31,5.295,6.9,8
GPT-5.4-High,L-Alanine,Gemini Report,2,0.6273,0.45,6.273,5.5,8
GPT-5.4-High,L-Alanine,Gemini Report,3,0.5559,0.39,5.559,6.1,8
GPT-5.4-High,L-Proline,Gemini Report,1,0.3282,0.17,3.282,8.3,5
GPT-5.4-High,L-Proline,Gemini Report,2,0.3184,0.2,3.184,8.0,5
GPT-5.4-High,L-Proline,Gemini Report,3,0.3371,0.2,3.371,8.0,5
GPT-5.4-High,Serine,Gemini Report,1,0.8667,0.21,8.667,7.9,3
GPT-5.4-High,Serine,Gemini Report,2,0.8667,0.21,8.667,7.9,3
GPT-5.4-High,Serine,Gemini Report,3,0.8667,0.21,8.667,7.9,3
GPT-5.4-High,Threonine,Gemini Report,1,0.4346,0.17,4.346,8.3,4
GPT-5.4-High,Threonine,Gemini Report,2,0.4477,0.15,4.477,8.5,4
GPT-5.4-High,Threonine,Gemini Report,3,0.404,0.19,4.04,8.1,4
GPT-5.4-High,Valine,Gemini Report,1,0.2056,0.15,2.056,8.5,8
GPT-5.4-High,Valine,Gemini Report,2,0.2104,0.17,2.104,8.3,8
GPT-5.4-High,Valine,Gemini Report,3,0.193,0.16,1.93,8.4,8
GPT-5.4-High,Arginine,No Report,1,0.0651,0.07,0.651,9.3,12
GPT-5.4-High,Arginine,No Report,2,0.0634,0.06,0.634,9.4,12
GPT-5.4-High,Arginine,No Report,3,0.0947,0.09,0.947,9.1,12
GPT-5.4-High,Glutamate,No Report,1,0.2706,0.2,2.706,8.0,11
GPT-5.4-High,Glutamate,No Report,2,0.3802,0.25,3.802,7.5,11
GPT-5.4-High,Glutamate,No Report,3,0.4073,0.24,4.073,7.6,11
GPT-5.4-High,Glycine,No Report,1,0.3687,0.23,3.687,7.7,12
GPT-5.4-High,Glycine,No Report,2,0.368,0.29,3.68,7.1,12
GPT-5.4-High,Glycine,No Report,3,0.291,0.21,2.91,7.9,12
GPT-5.4-High,L-Alanine,No Report,1,0.6184,0.38,6.184,6.2,8
GPT-5.4-High,L-Alanine,No Report,2,0.5717,0.38,5.717,6.2,8
GPT-5.4-High,L-Alanine,No Report,3,0.5742,0.35,5.742,6.5,8
GPT-5.4-High,L-Proline,No Report,1,0.0978,0.07,0.978,9.3,5
GPT-5.4-High,L-Proline,No Report,2,0.07,0.04,0.7,9.6,5
GPT-5.4-High,L-Proline,No Report,3,0.0769,0.06,0.769,9.4,5
GPT-5.4-High,Serine,No Report,1,0.331,0.11,3.31,8.9,3
GPT-5.4-High,Serine,No Report,2,0.6086,0.15,6.086,8.5,3
GPT-5.4-High,Serine,No Report,3,0.4869,0.16,4.869,8.4,3
GPT-5.4-High,Threonine,No Report,1,0.1671,0.09,1.671,9.1,4
GPT-5.4-High,Threonine,No Report,2,0.2001,0.09,2.001,9.1,4
GPT-5.4-High,Threonine,No Report,3,0.2004,0.11,2.004,8.9,4
GPT-5.4-High,Valine,No Report,1,0.2968,0.19,2.968,8.1,8
GPT-5.4-High,Valine,No Report,2,0.31,0.2,3.1,8.0,8
GPT-5.4-High,Valine,No Report,3,0.2917,0.18,2.917,8.2,8
GPT-5.4-High,Arginine,Simple one-shot,1,0.0759,0.12,0.759,8.8,12
GPT-5.4-High,Glutamate,Simple one-shot,1,0.4788,0.59,4.788,4.1,11
GPT-5.4-High,Glycine,Simple one-shot,1,0.1521,0.23,1.521,7.7,12
GPT-5.4-High,L-Alanine,Simple one-shot,1,0.2264,0.25,2.264,7.5,8
GPT-5.4-High,L-Proline,Simple one-shot,1,0.0967,0.09,0.967,9.1,5
GPT-5.4-High,Serine,Simple one-shot,1,0.4634,0.26,4.634,7.4,3
GPT-5.4-High,Threonine,Simple one-shot,1,0.1628,0.14,1.628,8.6,4
GPT-5.4-High,Valine,Simple one-shot,1,0.6684,0.55,6.684,4.5,8
